protocol,attack,repeat,round,loss,accuracy,precision,recall,f1,roc_auc,backdoor_asr,local_training_seconds,crypto_seconds,aggregation_seconds,threshold_decryption_seconds,query_seconds,round_seconds,rss_start_bytes,peak_rss_bytes,peak_rss_delta_bytes,peak_python_bytes,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes,query_absolute_error,aggregate_exact_noise,query_exact_noise,aggregate_representative,query_representative,minimum_p_public,p_public_margin,minimum_q_symbolic,q_symbolic_margin,minimum_q_observed,q_observed_margin
baseline,clean,0,1,0.48705750128097125,0.7392280071813285,0.6032050165476398,0.8466992665036674,0.7045061540026447,0.8276591236192754,,2.4611585899983766,0.0,0.00019197500660084188,0.0,0.0,4.3574376909964485,409411584,437391360,27979776,10314043,1120,1120,0,2240,,,,,,,,,,,
baseline,clean,0,2,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,,2.8175518520147307,0.0,0.0007091490115271881,0.0,0.0,2.8386094169982243,437993472,437993472,0,295532,1120,1120,0,2240,,,,,,,,,,,
baseline,clean,0,3,0.48370422692016385,0.7414721723518851,0.6098801307664367,0.8210268948655257,0.6998749478949562,0.8271761951828538,,2.7021116240066476,0.0,0.00017525900329928845,0.0,0.0,2.7257736550091067,437997568,437997568,0,141569,1120,1120,0,2240,,,,,,,,,,,
baseline,clean,0,4,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410758,0.7038889455955905,0.8285627460160572,,2.684543265000684,0.0,0.00016074000450316817,0.0,0.0,2.706763555004727,437997568,437997568,0,153805,1120,1120,0,2240,,,,,,,,,,,
baseline,clean,0,5,0.48409557993150915,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,,2.478813749999972,0.0,0.00031185000261757523,0.0,0.0,2.4992288100038422,437997568,437997568,0,147407,1120,1120,0,2240,,,,,,,,,,,
hybrid_pet,clean,0,1,0.48704840969996566,0.739048473967684,0.6030667363652205,0.8462102689486553,0.704242547563333,0.8276235585843348,,2.6111880549869966,0.07791269198060036,0.0016185830027097836,0.029348493000725284,0.518285422003828,3.2685198620019946,437997568,437997568,0,170512,10240,1120,6144,17504,0.0,132.0,10628764977.0,8622212.0,696577370268976.0,60001.0,5536.0,104317941866162903181,190829963313189933172,1393154740537953.0,295146512024612298400
hybrid_pet,clean,0,2,0.48539076142508,0.7408438061041293,0.6054708048395582,0.8442542787286064,0.7051975901153885,0.8281735767916906,,2.7272129049961222,0.0795772750134347,0.002230707003036514,0.028899115000967868,0.43618762100231834,3.298382829001639,437997568,437997568,0,314649,10240,1120,6144,17504,0.0,138.0,25926082277.0,9043025.0,1699117654178149.0,60001.0,5536.0,115857706527835218189,179290198651517618164,3398235308356299.0,295144506944044480054
hybrid_pet,clean,0,3,0.4836786978976731,0.7420107719928186,0.6105856675154602,0.8207823960880195,0.700250312891114,0.827179038998422,,2.7096036639850354,0.0966724099998828,0.001806646992918104,0.02958847800618969,0.445381928991992,3.3101848759979475,437997568,437997568,0,165772,10240,1120,6144,17504,0.0,90.0,7158086402.0,5887649.0,469119508531074.0,60001.0,5536.0,110078976883268376845,185068928296084459508,938239017062149.0,295146966940335774204
hybrid_pet,clean,0,4,0.4845680277908298,0.7397666068222621,0.604308985811876,0.843520782396088,0.7041534850494948,0.8285450935511279,,2.734667276017717,0.08123959900694899,0.001660926005570218,0.030039268007385544,0.46231628399982583,3.338424039000529,438005760,438005760,0,299355,10240,1120,6144,17504,0.0,130.0,14740074228.0,8502787.0,966020244680429.0,60001.0,5536.0,110096982799840894349,185050922379511942004,1932040489360859.0,295145973138863475494
hybrid_pet,clean,0,5,0.48411706277241184,0.7414721723518851,0.6079200856225473,0.8332518337408313,0.7029702970297029,0.8277624373580261,,2.7065344039874617,0.07906703601474874,0.0014813480083830655,0.02909423300297931,0.4302096920000622,3.2729437190137105,438009856,438009856,0,165570,10240,1120,6144,17504,1.734723475976807e-18,124.0,26364951424.0,8144458.0,1727879821476352.0,60001.0,5536.0,104300139859090894221,190847765320261942132,3455759642952705.0,295144449419709883648
