protocol,repeat,round,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes
baseline,0,1,1120,1120,0,2240
baseline,0,2,1120,1120,0,2240
baseline,0,3,1120,1120,0,2240
baseline,0,4,1120,1120,0,2240
baseline,0,5,1120,1120,0,2240
baseline,1,1,1120,1120,0,2240
baseline,1,2,1120,1120,0,2240
baseline,1,3,1120,1120,0,2240
baseline,1,4,1120,1120,0,2240
baseline,1,5,1120,1120,0,2240
baseline,2,1,1120,1120,0,2240
baseline,2,2,1120,1120,0,2240
baseline,2,3,1120,1120,0,2240
baseline,2,4,1120,1120,0,2240
baseline,2,5,1120,1120,0,2240
hybrid_pet,0,1,10240,1120,6144,17504
hybrid_pet,0,2,10240,1120,6144,17504
hybrid_pet,0,3,10240,1120,6144,17504
hybrid_pet,0,4,10240,1120,6144,17504
hybrid_pet,0,5,10240,1120,6144,17504
hybrid_pet,1,1,10240,1120,6144,17504
hybrid_pet,1,2,10240,1120,6144,17504
hybrid_pet,1,3,10240,1120,6144,17504
hybrid_pet,1,4,10240,1120,6144,17504
hybrid_pet,1,5,10240,1120,6144,17504
hybrid_pet,2,1,10240,1120,6144,17504
hybrid_pet,2,2,10240,1120,6144,17504
hybrid_pet,2,3,10240,1120,6144,17504
hybrid_pet,2,4,10240,1120,6144,17504
hybrid_pet,2,5,10240,1120,6144,17504
