protocol,repeat,round,loss,accuracy,precision,recall,f1,roc_auc,local_training_seconds,encryption_seconds,aggregation_seconds,threshold_decryption_seconds,query_evaluation_seconds,round_seconds,rss_start_bytes,rss_end_bytes,peak_rss_bytes,peak_rss_delta_bytes,peak_python_bytes,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes,authorized_scalar,authorized_reference,authorized_absolute_error,aggregate_exact_noise,query_exact_noise
baseline,0,1,0.4870575012809712,0.7392280071813285,0.6032050165476398,0.8466992665036674,0.7045061540026447,0.8276591236192754,2.933928106999929,0.0,0.0002680659999896,0.0,0.0,4.468656893000002,382038016,408604672,408604672,26566656,11092022,1120,1120,0,2240,,,,,
baseline,0,2,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,4.104353900000092,0.0,0.0006746309999243,0.0,0.0,4.123361357000022,408604672,408608768,408608768,4096,234645,1120,1120,0,2240,,,,,
baseline,0,3,0.4837042269201638,0.7414721723518851,0.6098801307664367,0.8210268948655257,0.6998749478949562,0.8271761951828538,8.7719169679998,0.0,0.0003555650000635,0.0,0.0,8.839976724000053,408608768,408608768,408608768,0,352796,1120,1120,0,2240,,,,,
baseline,0,4,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410758,0.7038889455955905,0.8285627460160572,5.5567948030000025,0.0,0.0001976070000182,0.0,0.0,5.588604740000051,408608768,408633344,408633344,24576,208711,1120,1120,0,2240,,,,,
baseline,0,5,0.4840955799315091,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,4.665058195000142,0.0,0.0003749080000261,0.0,0.0,4.683665240000096,408633344,408633344,408633344,0,348532,1120,1120,0,2240,,,,,
baseline,1,1,0.4870575012809712,0.7392280071813285,0.6032050165476398,0.8466992665036674,0.7045061540026447,0.8276591236192754,5.125637950000055,0.0,0.0004155860000309,0.0,0.0,7.561035518999915,382373888,408862720,408862720,26488832,10528168,1120,1120,0,2240,,,,,
baseline,1,2,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,6.580074752000087,0.0,0.0010801800000308,0.0,0.0,6.608211990999962,408862720,408875008,408875008,12288,231531,1120,1120,0,2240,,,,,
baseline,1,3,0.4837042269201638,0.7414721723518851,0.6098801307664367,0.8210268948655257,0.6998749478949562,0.8271761951828538,7.2511662770000385,0.0,0.0003938760000892,0.0,0.0,7.305852581999943,408875008,408875008,408875008,0,345421,1120,1120,0,2240,,,,,
baseline,1,4,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410758,0.7038889455955905,0.8285627460160572,5.6385720900002525,0.0,0.0002738470000167,0.0,0.0,5.73332321700002,408875008,408883200,408883200,8192,207007,1120,1120,0,2240,,,,,
baseline,1,5,0.4840955799315091,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,4.082085376999885,0.0,0.0004312250000566,0.0,0.0,4.112237009000069,408883200,408883200,408883200,0,348099,1120,1120,0,2240,,,,,
baseline,2,1,0.4870575012809712,0.7392280071813285,0.6032050165476398,0.8466992665036674,0.7045061540026447,0.8276591236192754,4.026757099000065,0.0,0.0003503279999677,0.0,0.0,5.787772669999981,381423616,407703552,407703552,26279936,10494209,1120,1120,0,2240,,,,,
baseline,2,2,0.4853439940584412,0.7410233393177738,0.6056091148115688,0.8447432762836186,0.7054619703930577,0.8281795245279091,4.384349274999977,0.0,0.0004442419999577,0.0,0.0,4.403228861000002,407703552,407715840,407715840,12288,220852,1120,1120,0,2240,,,,,
baseline,2,3,0.4837042269201638,0.7414721723518851,0.6098801307664367,0.8210268948655257,0.6998749478949562,0.8271761951828538,4.623347633000094,0.0,0.0005355770000505,0.0,0.0,4.643954282999971,407715840,407715840,407715840,0,344430,1120,1120,0,2240,,,,,
baseline,2,4,0.4845447663558878,0.7395870736086176,0.6041703171543719,0.8430317848410758,0.7038889455955905,0.8285627460160572,4.5308665600000495,0.0,0.0004593979999754,0.0,0.0,4.551692319999916,407715840,407719936,407719936,4096,211806,1120,1120,0,2240,,,,,
baseline,2,5,0.4840955799315091,0.7412926391382406,0.6078956770275098,0.8320293398533007,0.7025185796862098,0.8277469871161283,4.7883490740000525,0.0,0.0011364780000349,0.0,0.0,4.809116774000017,407719936,407740416,407740416,20480,351516,1120,1120,0,2240,,,,,
hybrid_pet,0,1,0.4870484096999656,0.739048473967684,0.6030667363652205,0.8462102689486553,0.704242547563333,0.8276235585843348,5.8196718230000215,0.1948761279999189,0.0032299890000331,0.0580442130000165,1.0966147220000266,9.31080018299997,381980672,409210880,409210880,27230208,11142152,10240,1120,6144,17504,0.225,0.225,0.0,132.0,10696789797.0
hybrid_pet,0,2,0.48539076142508,0.7408438061041293,0.6054708048395582,0.8442542787286064,0.7051975901153885,0.8281735767916906,5.497400654999865,0.1436795210001946,0.0042536189999964,0.1611696779999647,1.4788406860000125,7.315089103999981,409210880,409284608,409284608,73728,254865,10240,1120,6144,17504,-0.05859375,-0.05859375,0.0,138.0,25923052987.0
hybrid_pet,0,3,0.4836786978976731,0.7420107719928186,0.6105856675154602,0.8207823960880195,0.700250312891114,0.827179038998422,6.217472304999888,0.1784054749999768,0.003702745000055,0.0469271189999744,0.6132585969999127,7.087357921000034,409284608,409284608,409284608,0,385560,10240,1120,6144,17504,0.01953125,0.01953125,0.0,90.0,7138930672.0
hybrid_pet,0,4,0.4845680277908298,0.7397666068222621,0.604308985811876,0.843520782396088,0.7041534850494948,0.8285450935511279,6.689389811000069,0.2040419469998369,0.0023283600000922,0.0589625359999672,1.393988003000004,8.38582894000001,409284608,409550848,409550848,266240,230164,10240,1120,6144,17504,-0.0109375,-0.0109375,0.0,130.0,14734249750.0
hybrid_pet,0,5,0.4841170627724118,0.7414721723518851,0.6079200856225473,0.8332518337408313,0.7029702970297029,0.8277624373580261,6.253785937999851,0.1723782300000493,0.0084038910000572,0.0515777909999997,1.4668821170000683,7.983334712999976,409550848,409550848,409550848,0,384648,10240,1120,6144,17504,0.01015625,0.01015625,1.734723475976807e-18,124.0,26383142655.0
hybrid_pet,1,1,0.4870484096999656,0.739048473967684,0.6030667363652205,0.8462102689486553,0.704242547563333,0.8276235585843348,4.102388715999837,0.1186913329999015,0.0020352889999912,0.0418656780000219,0.6536019899999701,6.369446853999989,382775296,409882624,409882624,27107328,10983217,10240,1120,6144,17504,0.225,0.225,0.0,161.0,22635814964.0
hybrid_pet,1,2,0.48539076142508,0.7408438061041293,0.6054708048395582,0.8442542787286064,0.7051975901153885,0.8281735767916906,4.466231060999803,0.1154939629999489,0.0053332090000139,0.0507969980000098,0.6376862419999725,5.301160576000029,409882624,409886720,409886720,4096,249794,10240,1120,6144,17504,-0.05859375,-0.05859375,0.0,144.0,32487787714.0
hybrid_pet,1,3,0.4836786978976731,0.7420107719928186,0.6105856675154602,0.8207823960880195,0.700250312891114,0.827179038998422,4.488083368000048,0.1171195009999337,0.002661640000042,0.0476127320000614,0.7567723399999977,5.432868598000027,409886720,409886720,409886720,0,379802,10240,1120,6144,17504,0.01953125,0.01953125,0.0,118.0,15296167116.0
hybrid_pet,1,4,0.4845680277908298,0.7397666068222621,0.604308985811876,0.843520782396088,0.7041534850494948,0.8285450935511279,5.253168275000007,0.1083838639998475,0.0020027390000905,0.0457143169999199,0.6485063809999474,6.084674684999982,409886720,409944064,409944064,57344,230636,10240,1120,6144,17504,-0.0109375,-0.0109375,0.0,124.0,15020157461.0
hybrid_pet,1,5,0.4841170627724118,0.7414721723518851,0.6079200856225473,0.8332518337408313,0.7029702970297029,0.8277624373580261,4.822627570000122,0.1109425099998588,0.0025900980000415,0.0564192279999815,0.6920379770000409,5.708701187999964,409944064,409944064,409944064,0,368252,10240,1120,6144,17504,0.01015625,0.01015625,1.734723475976807e-18,102.0,11154836570.0
hybrid_pet,2,1,0.4870484096999656,0.739048473967684,0.6030667363652205,0.8462102689486553,0.704242547563333,0.8276235585843348,4.074232515000176,0.0956851919997916,0.0029136319999452,0.0457456449998971,0.6745217740001408,6.594794614999955,382537728,409649152,409649152,27111424,10505126,10240,1120,6144,17504,0.225,0.225,0.0,113.0,5696283011.0
hybrid_pet,2,2,0.48539076142508,0.7408438061041293,0.6054708048395582,0.8442542787286064,0.7051975901153885,0.8281735767916906,4.719280213000047,0.1346489029999702,0.0025153779999982,0.0569054109998887,0.6632624320000104,5.600956621000023,409649152,409649152,409649152,0,265914,10240,1120,6144,17504,-0.05859375,-0.05859375,0.0,141.0,29360437806.0
hybrid_pet,2,3,0.4836786978976731,0.7420107719928186,0.6105856675154602,0.8207823960880195,0.700250312891114,0.827179038998422,4.907376131000319,0.1075709420001658,0.0027391029998398,0.0529662960000223,0.679332101,5.776835659000199,409649152,409649152,409649152,0,384071,10240,1120,6144,17504,0.01953125,0.01953125,0.0,123.0,29858947303.0
hybrid_pet,2,4,0.4845680277908298,0.7397666068222621,0.604308985811876,0.843520782396088,0.7041534850494948,0.8285450935511279,4.618216740999969,0.1070519269999294,0.0018740990001333,0.0495938560000013,0.6830643299999792,5.483100732999901,409649152,409649152,409649152,0,228419,10240,1120,6144,17504,-0.0109375,-0.0109375,0.0,147.0,31696935097.0
hybrid_pet,2,5,0.4841170627724118,0.7414721723518851,0.6079200856225473,0.8332518337408313,0.7029702970297029,0.8277624373580261,4.782764039999847,0.1164221399999405,0.001873008000075,0.0479832429998623,0.7126363249999486,5.683606432000033,409649152,409649152,409649152,0,382859,10240,1120,6144,17504,0.01015625,0.01015625,1.734723475976807e-18,123.0,53591567147.0
